           CODIGOS PARA VALIDACION DE PRACTICAS DE SWISS MEDICAL,
5040102,Neumonectomía o Lobectomía Pulmonar por Videotorascopía   - SMG
5040103,Decorticación   - SMG
5040104,Ventana pleuro-pulmonar  - SMG
5040106,Reducción de Volumen por Videotoracoscpía o Toracotomía Unilateral  - SMG
5040301,Tumor de mediastino   - SMG
5040901,Punción Biopsia Pleural por neumonología  - SMG
6010401,Reconstrucción mamaria con colgajo músculo recto abdominal   -  SMG
6010402,Otros Colgajos no TRAM (Colgajo Dorsal Ancho)  - SMG
6010901,Cuadrantectomía mamaria + biopsia por congelación con vaciamiento axilar   - SMG
6010902,Biopsia por Congelación (como único procedimiento)   - SMG
7061501,Colocación cateter p/varios  - SMG
7061502,Extracción de Cateter   - SMG
7061504,Colocación de Porta Cath   - SMG
7061604,Tratamiento Esclerosante de Várices por Sesión   - SMG
8010503,Esofaguectomía Distal más GastrectomíaTotal c/linfadenectomía   - SMG
8020201,Módulo Cirugía Laparoscópica para la Hernia de Hiato esofágico  - SMG
8020302,Hernia Unilateral por Laparoscopía.   - SMG
8020303,Hernia Bilateral por Laparoscopía  - SMG
8020801,Cirugía Laparoscópica Diagnóstica exploradora  - SMG
8020802,Laparatomia exploradora-evacuadora-extraccion cuerpo extraño con o sin toma de b  - SMG
8030401,Módulo Gastrostomía percutanea   - SMG
8050101,Colectomía Laparoscópica   - SMG
8050301,Hemicolectomía Laparoscópica   - SMG
8050403,Reconstrucción de Tránsito Post-Operación de Hartman   - SMG
8052401,Apendicetomía Laparoscópica   - SMG
8060301,Eventroplastía Laparoscópica  - SMG
8060901,Tratamiento endoscópico hemorroides dig.   - SMG
8070302,Módulo Drenaje Biliar   -  SMG
8070303,Hepatectomia Laparoscópica parcial. escision radical de lesion de higado -quiste  - SMG
8070303,Hepatectomia Laparoscópica parcial. escision radical de lesion de higado -quiste  - SMG
8070604,Módulo Percutaneo complejo  - SMG
8070605,Módulo Quimioembolización hepática selectiva.  - SMG
8070616,Dilatación percutánea de estenosis biliar  - SMG
8070701,Módulo Biopsia Hepática  - SMG
8070901,Colecistectomía Laparoscópica   - SMG
8071301,Módulo Cirugía Compleja Vías Biliares  - SMG
8080201,Anastomosis pancreatodigestivas por Vía Laparoscópica  - SMG
9010101,Módulo Cirugía/Biopsia Ganglio Centinela   -  SMG
9010601,Linfadenectomía Lumboaortica  - SMG
10010402,Nefrostomía Percutánea  -  SMG
10010403,Ureteroscopía con/sin Colocación de Cateter Doble  J  - SMG
10010801,Suprarrenalectomía Laparoscópica   - SMG
10021301,Reconstrucción  Total c/Neovejiga   - SMG
11010102,Ooforectomía Laparoscópica   - SMG
11010204,Laparoscopía Ginecológica Terapéutica   - SMG
11020101,Módulo Histerectomía radical con linfadenectomía  - SMG
11021104,Histerectomia laparascopica  - SMG
18011903,"Puncion y biopsia con aguja fina  guiados por Ecografia mediastinal,pulmonar,  - SMG"
34101217,Procedimiento/Biopsia/Drenaje Percutáneo bajo control TAC  - SMG
34101417,"Puncion y drenaje guiados por Tomografia Axial Computada mediastinal,pulmonar, p   - SMG"
38010107,Uso de Equipo de Cirugia Laparoscopica  - SMG
43180035,Bisturí Armónico  - SMG
